Sample was labelled,"Grocer, G, or Restaurant, R",Species associated with common name,Other taxa associated with common name,Top BLAST match,Common name (BLAST match),Worldwide distribution,IUCN status
Red Snapper,Other, Lutjanus campechanus,"Lutjanus sp., Sebastes sp., Centroberyx affinis, Etelis carbunculus, E. coruscans and E. oculatus",Oreochromis niloticus,Nile Tilapia,Tropical/Subtropical Africa,Not Evaluated
Yellowtail,R,No single species,"Seriola sp., Caesio sp., Trachurus sp., Ocyurus., Chloroscombrus sp., Limanda sp., Plectroglyphidodon sp.",Seriola quinqueradiata,Japanese amberjack,Northwest Pacific,Not Evaluated
Tuna,R,No single species,All species within Thunnini,Thunnus alalunga,Albacore tuna,"All tropical and termperate oceans, Mediterranean sea",Near Threatened
Kingfish,G,No single species,"Menticirrhus sp., Scomberomorus sp., Caranx sp., Lampris sp., Seriola sp.",Scomberomorus commerson,Narrow-barred Spanish mackerel,"Temperate waters in the Indo-Pacific, eastern Pacific, and Eastern Atlantic oceans",Near Threatened
Red Tuna,R,No single species,All species within Thunnini,Thunnus albacares,Yellowfin Tuna,Worldwide in tropical and subtropical seas,Near Threatened
Tuna,R,No single species,All species within Thunnini,Thunnus albacares,Yellowfin tuna,Worldwide in tropical and subtropical seas,Near threatened
Perch,G,No single species,"Perca fluviatilis, Perca schrenkii, Perca flavescens",Sebastes sp.,Rockfish,"north Pacific, south Pacific/Atlantic, north Atlantic",Not Evaluated
Yellowfin Tuna,R,Thunnus albacares,None,Thunnus albacares,Yellowfin tuna,Worldwide in tropical and subtropical seas,Near threatened
Pickerel,G,No single species,Esox niger and E. Americanus,Sander vitreus,Walleye,"Canada, Northern United States",Not Evaluated
White Tuna,Other,Thunnus alalunga,Gymnosarda unicolor,Lepidocybium flavobrunneum,Escolar,Deep (200-1100 ft) tropical and temperate oceans worldwide,Not Evaluated
Tuna,G,No single species,All species within Thunnini,Thunnus albacares,Yellowfin Tuna,Tropical and subtropical oceans worldwide,Near Threatened
Red Snapper,Other, Lutjanus campechanus,"Lutjanus sp., Sebastes sp., Centroberyx affinis, Etelis carbunculus, E. coruscans and E. oculatus",Oreochromis niloticus,Nile Tilapia,Tropical/Subtropical Africa,Not Evaluated
Yellowfin Tuna,R,Thunnus albacares,None,Thunnus albacares,Yellowfin tuna,Worldwide in tropical and subtropical seas,Near threatened
Red Tuna,R,No single species,"Allothunnus sp., Auxis sp., Euthynnus sp., Katsouwonus sp., Thunnus sp.",Thunnus obesus,Bigeye Tuna,"Open waters of all tropical and temperate oceans, but not the Mediterrenean Sea",Vulnerable
Haddock,G,Melanogrammus aeglefinus,None,Melanogrammus aeglefinus,Haddock,North Atlantic,Vulnerable
Kingfish,G,No single species,"Menticirrhus sp., Scomberomorus sp., Caranx sp., Lampris sp., Seriola sp.",Scomberomorus commerson,Narrow-barred Spanish mackerel,"Temperate waters in the Indo-Pacific, eastern Pacific, and Eastern Atlantic oceans",Near Threatened
Yellowtail,Other,No single species,"Seriola sp., Caesio sp., Trachurus sp., Ocyurus., Chloroscombrus sp., Limanda sp., Plectroglyphidodon sp.",Seriola quinqueradiata,Japanese amberjack,Northwest Pacific,Not Evaluated
Red Tuna,R,No single species,All species within Thunnini,Thunnus albacares,Yellowfin Tuna,Worldwide in tropical and subtropical seas,Near Threatened
Shark,G,No single species,Selachimorpha,Carcharhinus brevipinna,Spinner Shark,Warm coastal waters of western and eastern Atlantic; Indian Ocean; western Pacific,Near Threatened
Tuna,R,No single species,All species within Thunnini,Thunnus alalunga,Albacore tuna,"All tropical and termperate oceans, Mediterranean sea",Near Threatened
Yellowtail,R,No single species,"Seriola sp., Caesio sp., Trachurus sp., Ocyurus., Chloroscombrus sp., Limanda sp., Plectroglyphidodon sp.",Seriola quinqueradiata,Japanese amberjack,Northwest Pacific,Not Evaluated
White tuna,R,Thunnus alalunga,Gymnosarda unicolor,Lepidocybium flavobrunneum,Escolar,"Deep tropical and temperate environments globally (Atlantic, Pacific and Indian Ocean)",Not Evaluated
Seer Fish,G,No single species,subfamily of the Scombridae family,Scomberomorus cavalla,King Mackerel,Western Atlantic,Least Concern
